Name,Calories,Protein,Fat,Carbs,Brand,Ingredients
Nescafe Coffee,2,0,0,0,Nestle,"100% coffee beans"
Bru Coffee,5,0,0,0,HUL,"Instant coffee"
Bournvita,390,7,9,78,Cadbury,"Malt extract, sugar, cocoa powder, milk solids, vitamins"
Complan,400,15,9,70,Heinz,"Milk solids, sugar, malt, cocoa, minerals"
Saffola Oats,400,12,10,68,Saffola,"Whole grain oats"
MTR Ready-to-Eat Dal,120,5,3,15,MTR,"Lentils, water, tomatoes, spices, preservatives (E211)"
Haldiram's Bhujia,550,10,35,50,Haldiram's,"Gram flour, potato, oil, spices, salt"
Patanjali Honey,320,0,0,80,Patanjali,"100% honey"
Mother Dairy Paneer,300,18,25,1,Mother Dairy,"Milk, citric acid"
Act II Popcorn,470,6,27,58,ConAgra Foods,"Corn, palm oil, salt, flavoring agents"
Bournville Chocolate,550,7,30,55,Cadbury,"Cocoa solids, sugar, cocoa butter, emulsifiers"
Nestle Milkmaid,320,7,8,55,Nestle,"Milk solids, sugar, stabilizers"
Perk,520,5,25,65,Cadbury,"Milk solids, cocoa, sugar, emulsifiers"
Kit Kat,520,5,26,65,Nestle,"Wheat flour, milk solids, sugar, cocoa butter, emulsifiers"
Lassi,70,4,3,8,Various,"Yogurt, sugar, cardamom"
Yakult,60,2,0,14,Yakult,"Water, skim milk powder, glucose, live bacteria"
Thums Up,140,0,0,39,Coca-Cola,"Carbonated water, sugar, caffeine, flavorings"
Slice Mango Juice,60,0,0,15,PepsiCo,"Mango pulp, water, sugar, citric acid"
Real Fruit Power Apple,50,0,0,13,Dabur,"Apple juice concentrate, antioxidants"
Paper Boat Aam Panna,40,0,0,10,Hector Beverages,"Mango, mint, cumin, salt, antioxidants"
Himalaya Green Tea,0,0,0,0,Himalaya,"Green tea leaves"
Bisleri Mineral Water,0,0,0,0,Bisleri,"Purified water, minerals (added)"
Maaza Mango Drink,60,0,0,15,Coca-Cola,"Mango pulp, water, sugar, preservatives"
Cadbury 5 Star,520,5,25,65,Cadbury,"Milk solids, sugar, cocoa butter, emulsifiers"
Hershey's Syrup,320,2,0,80,Hershey's,"Corn syrup, sugar, cocoa, preservatives"
Rin Soap,0,0,0,0,HUL,"Detergent, surfactants, perfumes"
Tide Detergent,0,0,0,0,P&G,"Surfactants, enzymes, perfumes"
Dettol Antiseptic,0,0,0,0,Reckitt,"Chloroxylenol, pine oil, isopropanol"
Colgate Toothpaste,0,0,0,0,Colgate,"Calcium carbonate, fluoride, flavor"
Dove Soap,0,0,0,0,Unilever,"Sodium stearate, glycerin, perfumes"
